ID,Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Numchildren,TotalNumPurchases,TotalAcceptedCmp,TotalMnt,Age
5376,1979,2nd_Cycle,In_Relationships,2447.0,2013-06-01,42,1,1,1725,1,1,1,15,0,28,0,1,0,1,43,0,1730,42
1993,1949,3rd_Cycle,In_Relationships,58607.0,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,17,1,972,72
4047,1954,3rd_Cycle,In_Relationships,65324.0,2014-11-01,0,384,0,102,21,32,5,3,6,2,9,4,0,1,20,0,544,67
1409,1951,2nd_Cycle,In_Relationships,40689.0,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,1,20,0,444,70
7892,1969,2nd_Cycle,Single,18589.0,2013-02-01,89,6,4,25,15,12,13,2,2,1,3,7,0,0,8,0,75,52
2404,1976,2nd_Cycle,In_Relationships,53359.0,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,2,14,0,257,45
5255,1986,2nd_Cycle,Single,51111.0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,1,27,0,637,35
9422,1989,2nd_Cycle,In_Relationships,38360.0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,1,9,0,131,32
1966,1965,3rd_Cycle,In_Relationships,84618.0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,26,1,1672,56
6864,1989,2nd_Cycle,Single,10979.0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,8,0,30,32
3033,1963,2nd_Cycle,In_Relationships,38620.0,2013-11-05,56,112,17,44,34,22,89,1,2,5,3,3,0,0,11,0,318,58
5710,1970,2nd_Cycle,In_Relationships,40548.0,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,9,1,120,51
7373,1952,3rd_Cycle,Single,46610.0,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,2,17,1,302,69
8755,1946,2nd_Cycle,In_Relationships,68657.0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,18,0,1196,75
10738,1951,2nd_Cycle,Single,49389.0,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,2,6,0,65,70
4339,1970,3rd_Cycle,In_Relationships,67353.0,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,1,28,0,913,51
10755,1976,2nd_Cycle,In_Relationships,23718.0,2013-02-09,76,6,3,14,15,7,36,3,3,1,2,7,0,1,9,0,81,45
8595,1973,2nd_Cycle,Single,42429.0,2014-11-02,99,55,0,6,2,0,4,2,1,1,3,5,0,1,7,0,67,48
2968,1943,3rd_Cycle,Single,48948.0,2013-01-02,53,437,8,206,160,49,42,2,7,10,5,6,0,0,24,2,902,78
8601,1980,2nd_Cycle,In_Relationships,80011.0,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,1,21,0,1395,41
503,1985,2nd_Cycle,In_Relationships,20559.0,2013-12-03,88,13,1,29,3,0,7,2,2,0,3,8,0,1,7,0,53,36
8430,1957,2nd_Cycle,In_Relationships,21994.0,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,1,4,0,22,64
7281,1959,3rd_Cycle,Single,55185.0,2013-05-11,80,81,11,50,3,2,39,1,1,3,4,2,0,0,9,0,186,62
2139,1975,2nd_Cycle,In_Relationships,7500.0,2013-02-10,19,3,1,10,3,2,12,3,2,0,3,5,0,1,8,0,31,46
1371,1976,2nd_Cycle,Single,79941.0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,16,0,984,45
9909,1996,2nd_Cycle,In_Relationships,7500.0,2012-09-11,24,3,18,14,15,22,50,3,3,1,3,9,0,0,10,1,122,25
7286,1968,2nd_Cycle,In_Relationships,41728.0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,1,5,0,55,53
7244,1951,2nd_Cycle,Single,51111.0,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,3,10,0,124,70
6566,1954,3rd_Cycle,In_Relationships,72550.0,2012-08-11,39,826,50,317,50,38,38,9,5,2,12,8,0,2,28,0,1319,67
8614,1957,2nd_Cycle,Single,65486.0,2014-12-05,29,245,19,125,37,67,14,1,4,2,10,2,0,1,17,0,507,64
4114,1964,2nd_Cycle,In_Relationships,79143.0,2012-11-08,2,650,37,780,27,167,32,1,6,9,13,3,0,0,29,0,1693,57
1331,1977,2nd_Cycle,Single,35790.0,2013-02-01,54,12,6,20,30,1,3,2,2,0,3,7,0,1,7,0,72,44
2225,1977,2nd_Cycle,Single,82582.0,2014-07-06,54,510,120,550,156,40,241,1,4,9,7,1,0,0,21,3,1617,44
9381,1978,2nd_Cycle,In_Relationships,66373.0,2013-12-06,57,328,9,124,12,24,109,7,4,2,10,3,0,2,23,0,606,43
6260,1955,2nd_Cycle,In_Relationships,82384.0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,27,2,1957,66
10383,1966,2nd_Cycle,Single,70287.0,2013-02-04,30,295,35,482,121,120,40,1,5,5,10,3,0,0,21,1,1093,55
7437,1988,2nd_Cycle,Single,27938.0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,1,6,0,29,33
8557,1982,2nd_Cycle,Single,51111.0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,1,7,0,46,39
8375,1968,3rd_Cycle,In_Relationships,55954.0,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,1,19,0,518,53
6853,1982,2nd_Cycle,Single,75777.0,2013-04-07,12,712,26,538,69,13,80,1,3,6,11,1,0,0,21,3,1438,39
3076,1975,2nd_Cycle,In_Relationships,66653.0,2012-07-09,18,452,18,102,16,18,6,4,4,2,12,3,0,2,22,0,612,46
1012,1952,2nd_Cycle,Single,61823.0,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,1,24,0,884,69
6518,1951,3rd_Cycle,Single,67680.0,2013-11-06,8,546,0,48,0,6,6,1,7,3,8,5,0,1,19,0,606,70
4137,1948,2nd_Cycle,In_Relationships,70666.0,2013-06-12,29,398,40,367,119,122,30,1,7,4,4,4,0,0,16,0,1076,73
8082,1971,2nd_Cycle,In_Relationships,25721.0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,1,5,1,34,50
1386,1967,2nd_Cycle,In_Relationships,32474.0,2014-11-05,0,10,0,1,0,0,0,1,1,0,2,7,0,2,4,0,11,54
9369,1979,2nd_Cycle,Single,88194.0,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,0,1,32,3,1274,42
4477,1958,2nd_Cycle,In_Relationships,69096.0,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,1,18,0,653,63
1357,1970,2nd_Cycle,In_Relationships,74854.0,2013-08-04,90,856,59,487,58,29,73,7,2,5,5,5,0,3,19,0,1562,51
1402,1954,2nd_Cycle,In_Relationships,66991.0,2012-11-09,1,496,36,460,189,60,12,3,4,8,6,3,0,0,21,0,1253,67
10629,1973,2nd_Cycle,In_Relationships,51111.0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,1,9,0,109,48
6312,1959,2nd_Cycle,In_Relationships,65031.0,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,1,30,0,863,62
8132,1975,3rd_Cycle,In_Relationships,60631.0,2013-05-04,88,565,6,65,0,6,19,5,9,2,8,7,0,2,24,1,661,46
1050,1952,2nd_Cycle,In_Relationships,28332.0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,8,0,65,69
5846,1977,2nd_Cycle,Single,40246.0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,1,4,0,13,44
1859,1972,2nd_Cycle,In_Relationships,75251.0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,19,1,1890,49
7503,1976,2nd_Cycle,Single,75825.0,2012-12-10,40,1032,105,779,137,105,51,0,5,8,9,4,0,0,22,2,2209,45
10401,1976,2nd_Cycle,In_Relationships,26326.0,2013-04-09,12,1,0,5,0,3,9,1,0,0,3,3,1,0,4,0,18,45
1618,1965,2nd_Cycle,In_Relationships,56046.0,2013-02-01,9,577,0,64,0,0,51,2,10,1,8,8,0,0,21,2,692,56
3332,1985,2nd_Cycle,Single,29760.0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,1,12,0,165,36
2261,1969,2nd_Cycle,In_Relationships,26304.0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,1,4,0,16,52
5346,1973,2nd_Cycle,In_Relationships,23559.0,2013-03-07,87,25,5,19,7,0,23,3,3,0,3,7,0,1,9,0,79,48
4119,1963,2nd_Cycle,In_Relationships,38620.0,2013-11-05,56,112,17,44,34,22,89,1,2,5,3,3,0,0,11,0,318,58
535,1987,2nd_Cycle,Single,81361.0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,27,0,778,34
5268,1960,2nd_Cycle,In_Relationships,29440.0,2013-11-08,95,17,8,14,10,4,3,2,1,0,4,7,0,2,7,0,56,61
273,1970,2nd_Cycle,In_Relationships,36138.0,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,2,13,1,151,51
4452,1957,2nd_Cycle,Single,50388.0,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,17,3,372,64
8504,1973,2nd_Cycle,In_Relationships,79593.0,2014-12-05,70,350,60,568,110,133,145,1,5,6,7,2,0,0,19,1,1366,48
771,1967,2nd_Cycle,In_Relationships,54178.0,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,1,10,0,194,54
8996,1957,3rd_Cycle,In_Relationships,55185.0,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,3,29,0,603,64
9235,1957,2nd_Cycle,Single,51111.0,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,2,4,0,18,64
5798,1973,2nd_Cycle,In_Relationships,51111.0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,15,0,985,48
11178,1972,2nd_Cycle,Single,42394.0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,1,5,0,32,49
2230,1970,3rd_Cycle,In_Relationships,23626.0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,1,10,0,43,51
7516,1983,2nd_Cycle,In_Relationships,30096.0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,1,6,0,45,38
7247,1960,2nd_Cycle,Single,47916.0,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,22,1,606,61
11100,1972,2nd_Cycle,Single,51813.0,2013-11-04,37,51,2,7,0,1,2,2,2,0,3,7,0,2,7,0,63,49
4646,1951,2nd_Cycle,In_Relationships,78497.0,2013-01-12,44,207,26,447,75,0,223,1,5,7,12,2,0,0,25,1,978,70
3037,1983,3rd_Cycle,In_Relationships,50150.0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,16,0,410,38
1473,1960,2nd_Cycle,Single,47823.0,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,1,7,0,72,61
1016,1959,3rd_Cycle,Single,34554.0,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,1,7,0,55,62
4518,1979,2nd_Cycle,In_Relationships,85693.0,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,1,27,0,1169,42
9370,1945,3rd_Cycle,In_Relationships,65846.0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,16,0,1120,76
8908,1959,2nd_Cycle,In_Relationships,87195.0,2014-08-05,35,217,76,690,50,26,38,1,3,11,5,1,0,0,20,1,1097,62
8373,1979,1st_Cycle,In_Relationships,24594.0,2013-10-12,94,1,3,6,10,0,9,1,1,0,3,5,0,1,5,0,29,42
7533,1964,2nd_Cycle,In_Relationships,49096.0,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,2,13,0,187,57
2683,1969,2nd_Cycle,In_Relationships,52413.0,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,2,26,0,910,52
3629,1978,2nd_Cycle,Single,38557.0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,1,9,0,145,43
10991,1960,2nd_Cycle,In_Relationships,89058.0,2012-07-12,18,454,194,106,31,22,43,1,5,4,4,2,0,0,14,0,850,61
5077,1979,2nd_Cycle,In_Relationships,77298.0,2013-02-11,46,425,115,292,23,35,79,1,6,6,11,3,0,1,24,0,969,42
7431,1991,3rd_Cycle,Single,68126.0,2012-10-11,40,1332,17,311,23,51,86,1,7,4,5,9,0,0,17,2,1820,30
3267,1963,2nd_Cycle,In_Relationships,57288.0,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,20,1,608,58
999,1991,2nd_Cycle,Single,86037.0,2013-02-01,95,490,44,125,29,20,22,1,6,7,11,3,0,0,25,3,730,30
9215,1980,3rd_Cycle,In_Relationships,43974.0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,1,21,0,551,41
2286,1962,2nd_Cycle,Single,50785.0,2013-10-09,27,64,1,21,0,1,27,2,2,1,3,6,0,2,8,0,114,59
1592,1970,2nd_Cycle,In_Relationships,90765.0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,15,2,1724,51
367,1978,2nd_Cycle,In_Relationships,36550.0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,1,20,0,577,43
5234,1967,2nd_Cycle,In_Relationships,30753.0,2013-11-07,85,12,5,25,0,9,30,2,1,1,3,5,0,2,7,0,81,54
9862,1969,2nd_Cycle,In_Relationships,21918.0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,1,7,0,33,52
9805,1953,2nd_Cycle,In_Relationships,56129.0,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,1,22,0,660,68
6205,1967,2nd_Cycle,Single,32557.0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,1,9,1,80,54
8442,1985,2nd_Cycle,In_Relationships,19510.0,2013-04-09,63,9,0,7,3,4,7,2,1,0,3,7,0,2,6,0,30,36
7386,1976,2nd_Cycle,Single,30992.0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,1,5,0,43,45
7215,1983,2nd_Cycle,Single,101970.0,2013-12-03,69,722,27,102,44,72,168,0,6,8,13,2,0,0,27,4,1135,38
1491,1965,2nd_Cycle,In_Relationships,71488.0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,16,0,559,56
11071,1984,2nd_Cycle,Single,79607.0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,16,1,1923,37
3381,1953,2nd_Cycle,In_Relationships,54348.0,2014-08-06,51,70,0,16,0,0,4,2,2,0,4,6,0,2,8,0,90,68
8268,1961,3rd_Cycle,In_Relationships,55185.0,2013-11-07,23,352,0,27,10,0,15,3,6,1,7,6,0,1,17,0,404,60
11051,1956,3rd_Cycle,In_Relationships,77376.0,2014-10-05,72,492,19,110,16,12,12,4,6,3,10,4,0,2,23,0,661,65
8026,1952,2nd_Cycle,In_Relationships,62998.0,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,1,19,0,463,69
433,1958,2nd_Cycle,Single,61331.0,2013-10-03,42,534,5,47,0,5,41,5,11,1,6,8,0,2,23,0,632,63
9597,1969,2nd_Cycle,In_Relationships,73448.0,2014-10-02,10,236,106,189,23,41,130,1,7,2,9,4,0,0,19,0,725,52
1295,1963,2nd_Cycle,In_Relationships,51111.0,2013-11-08,96,231,65,196,38,71,124,1,6,5,7,4,0,1,19,0,725,58
5290,1964,3rd_Cycle,In_Relationships,41551.0,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,2,16,0,279,57
1685,1967,3rd_Cycle,In_Relationships,62981.0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,0,23,1,1482,54
5342,1976,1st_Cycle,Single,9548.0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,1,6,0,29,45
9579,1959,3rd_Cycle,In_Relationships,33762.0,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,3,9,0,106,62
7660,1973,3rd_Cycle,Single,35860.0,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,0,2,6,2,49,48
1461,1965,3rd_Cycle,Single,36921.0,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,2,7,0,38,56
821,1992,2nd_Cycle,Single,92859.0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,0,22,0,2077,29
11084,1976,2nd_Cycle,In_Relationships,65104.0,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,1,17,1,1053,45
8690,1962,2nd_Cycle,In_Relationships,86111.0,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2,0,0,23,0,1385,59
2937,1974,3rd_Cycle,Single,68352.0,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6,0,1,25,0,871,47
9701,1988,2nd_Cycle,In_Relationships,41883.0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,0,1,12,0,312,33
9949,1976,2nd_Cycle,In_Relationships,59809.0,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8,0,2,15,0,877,45
10837,1975,2nd_Cycle,In_Relationships,23957.0,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6,0,1,6,1,68,46
3120,1981,2nd_Cycle,In_Relationships,38547.0,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8,1,1,4,0,22,40
5885,1973,2nd_Cycle,In_Relationships,35688.0,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8,0,3,16,0,211,48
4050,1966,2nd_Cycle,In_Relationships,49605.0,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3,0,0,8,0,127,55
3830,1953,2nd_Cycle,In_Relationships,59354.0,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3,0,2,16,0,459,68
7987,1969,2nd_Cycle,In_Relationships,65747.0,2014-07-03,96,346,17,48,23,13,13,4,8,1,6,6,0,1,19,1,460,52
7798,1972,2nd_Cycle,In_Relationships,46344.0,2012-12-14,28,233,20,57,8,20,91,4,7,1,5,7,0,1,17,0,429,49
92,1988,2nd_Cycle,Single,34176.0,2014-12-05,12,5,7,24,19,14,20,4,3,0,4,6,0,1,11,0,89,33
7055,1952,3rd_Cycle,In_Relationships,61010.0,2012-09-10,57,888,0,57,0,0,76,2,8,5,11,5,0,1,26,0,1021,69
10240,1949,2nd_Cycle,In_Relationships,69372.0,2013-02-19,10,997,26,269,34,13,42,1,10,4,6,4,0,0,21,3,1381,72
3025,1958,2nd_Cycle,Single,49967.0,2013-08-07,4,212,6,69,4,12,3,3,6,1,5,7,0,1,15,0,306,63
9283,1978,2nd_Cycle,Single,60199.0,2013-12-09,49,8,1,7,2,0,0,1,0,0,3,4,0,3,4,0,18,43
9970,1977,2nd_Cycle,In_Relationships,55375.0,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2,0,1,9,0,162,44
2730,1955,2nd_Cycle,Single,80317.0,2013-08-20,64,536,11,387,149,91,57,1,3,4,10,1,0,0,18,0,1231,66
2795,1958,2nd_Cycle,Single,30523.0,2013-01-07,0,5,0,3,0,0,5,1,1,0,2,7,0,3,4,0,13,63
9260,1945,3rd_Cycle,In_Relationships,70356.0,2012-05-11,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,27,0,1706,76
8182,1984,2nd_Cycle,In_Relationships,23228.0,2014-05-01,91,53,3,49,7,4,5,4,3,0,4,8,0,1,11,0,121,37
10095,1975,3rd_Cycle,Single,74165.0,2013-01-05,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,20,0,1293,46
8475,1973,3rd_Cycle,In_Relationships,157243.0,2014-01-03,98,20,2,1582,1,2,1,15,0,22,0,0,0,1,37,0,1608,48
4370,1966,2nd_Cycle,In_Relationships,43482.0,2013-11-13,83,18,1,32,6,3,28,3,2,0,4,6,0,3,9,0,88,55
10573,1953,2nd_Cycle,Single,62551.0,2013-11-18,27,125,16,98,134,21,27,1,6,7,4,3,0,0,18,1,421,68
3712,1959,2nd_Cycle,Single,52332.0,2013-08-28,63,212,5,33,7,0,2,1,3,2,6,4,0,0,12,1,259,62
6637,1988,2nd_Cycle,Single,66951.0,2013-02-11,46,277,162,305,173,76,124,1,3,4,7,1,0,0,15,0,1117,33
3152,1957,2nd_Cycle,In_Relationships,26091.0,2014-02-25,84,15,10,19,8,17,20,3,2,1,3,5,0,2,9,0,89,64
5610,1965,2nd_Cycle,In_Relationships,33456.0,2014-04-21,58,7,3,10,8,1,7,2,1,0,3,7,0,2,6,0,36,56
6460,1982,2nd_Cycle,In_Relationships,28718.0,2013-07-13,78,12,4,6,11,8,16,2,2,0,3,8,0,1,7,0,57,39
1349,1970,2nd_Cycle,In_Relationships,50447.0,2014-04-21,4,85,7,24,2,3,27,1,3,1,3,6,0,2,8,0,148,51
1880,1959,3rd_Cycle,In_Relationships,53537.0,2014-01-30,17,81,0,6,0,0,6,2,2,1,3,5,0,2,8,0,93,62
641,1967,2nd_Cycle,Single,52074.0,2014-04-04,77,59,0,12,0,0,48,1,2,2,2,4,0,1,7,1,119,54
8717,1975,3rd_Cycle,In_Relationships,80427.0,2012-12-09,56,1149,71,449,69,71,26,1,11,8,8,5,0,1,28,0,1835,46
10314,1948,3rd_Cycle,In_Relationships,83837.0,2012-12-16,79,847,66,119,86,89,111,1,9,10,5,4,0,0,25,3,1318,73
10854,1970,3rd_Cycle,In_Relationships,38853.0,2014-05-23,90,29,0,14,0,0,2,2,2,0,3,7,0,2,7,0,45,51
10492,1959,2nd_Cycle,In_Relationships,38285.0,2014-06-24,96,2,0,5,2,0,1,1,0,0,3,2,0,3,4,0,10,62
6935,1951,2nd_Cycle,In_Relationships,78497.0,2013-01-12,44,207,26,447,75,0,223,1,5,7,12,2,0,0,25,1,978,70
7698,1976,3rd_Cycle,In_Relationships,51650.0,2014-11-05,81,152,3,22,2,5,7,1,4,1,4,5,0,1,10,0,191,45
3559,1988,2nd_Cycle,In_Relationships,16248.0,2014-10-05,77,12,11,10,3,12,9,3,2,1,3,6,0,1,9,0,57,33
10562,1946,2nd_Cycle,In_Relationships,66835.0,2013-09-28,21,620,26,195,34,17,141,1,6,4,13,2,0,0,24,0,1033,75
10796,1984,2nd_Cycle,In_Relationships,30477.0,2014-01-22,16,47,1,6,0,0,12,1,1,1,3,6,0,1,6,0,66,37
2563,1961,1st_Cycle,In_Relationships,28249.0,2014-06-15,80,1,9,7,2,14,10,1,2,0,3,6,0,0,6,0,43,60
3518,1983,2nd_Cycle,In_Relationships,25271.0,2012-05-12,45,10,1,18,10,4,7,1,1,1,2,9,0,1,5,0,50,38
5823,1970,3rd_Cycle,Single,32303.0,2014-08-03,63,35,0,2,0,0,2,2,1,0,4,5,0,1,7,0,39,51
3934,1966,2nd_Cycle,In_Relationships,61286.0,2013-02-08,34,356,0,107,19,9,117,2,7,1,8,5,0,1,18,0,608,55
6982,1976,2nd_Cycle,In_Relationships,74068.0,2013-03-19,14,783,30,537,140,76,15,1,4,10,9,2,0,0,24,0,1581,45
6431,1964,3rd_Cycle,In_Relationships,45759.0,2013-02-23,13,42,1,18,3,0,4,2,2,0,3,7,0,2,7,0,68,57
9733,1978,1st_Cycle,In_Relationships,24882.0,2012-09-09,52,1,4,10,29,0,36,1,1,1,2,6,0,1,5,1,80,43
5602,1989,3rd_Cycle,In_Relationships,66973.0,2013-05-17,98,466,22,432,147,113,102,1,8,7,12,3,0,0,28,0,1282,32
1324,1988,2nd_Cycle,In_Relationships,38872.0,2013-05-30,93,23,3,21,3,19,22,2,3,0,3,8,0,1,8,0,91,33
326,1973,2nd_Cycle,In_Relationships,51148.0,2013-02-18,38,235,6,45,8,9,12,4,5,1,6,6,0,2,16,0,315,48
7224,1977,2nd_Cycle,In_Relationships,31353.0,2013-12-29,24,10,0,10,3,1,7,2,1,1,2,8,0,2,6,0,31,44
6999,1980,2nd_Cycle,In_Relationships,69661.0,2014-05-13,80,656,16,106,32,16,8,1,7,3,12,3,0,0,23,0,834,41
9938,1954,2nd_Cycle,In_Relationships,80067.0,2013-09-19,82,519,17,813,27,173,51,1,4,6,6,2,0,0,17,1,1600,67
6422,1954,2nd_Cycle,In_Relationships,86718.0,2013-01-17,20,344,189,482,50,33,172,1,5,6,5,2,0,0,17,0,1270,67
